#;$id;libellé SEDA;libellé SEDA 0.2;libellé anglais
type;url;string;string;string
lang;;seda;seda-02;en
url;skos:Concept;skos:prefLabel;skos:prefLabel;skos:prefLabel
;;ita;it;Italian
;;isl;is;Icelandic
;;afr;af;Afrikaans
;;ces;ce;Czech
;;bel;be;Belarusian
;;lav;la;Latvian
;;vie;vi;Vietnamese
;;amh;am;Amharic
;;hun;hu;Hungarian
;;ava;av;Avaric
;;ssw;ss;Swati
;;cor;co;Cornish
;;ben;be;Bengali
;;slv;sl;Slovenian
;;som;so;Somali
;;rus;ru;Russian
;;wol;wo;Wolof
;;kur;ku;Kurdish
;;san;sa;Sanskrit
;;smo;sm;Samoan
;;jav;ja;Javanese
;;kaz;ka;Kazakh
;;ori;or;Oriya
;;aar;aa;Afar
;;bak;ba;Bashkir
;;glv;gl;Manx
;;dan;da;Danish
;;nau;na;Nauru
;;asm;as;Assamese
;;gle;gl;Irish
;;srd;sr;Sardinian
;;che;ch;Chechen
;;lub;lu;Luba-Katanga
;;guj;gu;Gujarati
;;her;he;Herero
;;kin;ki;Kinyarwanda
;;mlt;ml;Maltese
;;oji;oj;Ojibwa
;;ven;ve;Venda
;;kat;ka;Georgian
;;lat;la;Latin
;;pli;pl;Pali
;;mlg;ml;Malagasy
;;ukr;uk;Ukrainian
;;yid;yi;Yiddish
;;lit;li;Lithuanian
;;tso;ts;Tsonga
;;kas;ka;Kashmiri
;;ara;ar;Arabic
;;ton;to;Tonga (Tonga Islands)
;;zul;zu;Zulu
;;aka;ak;Akan
;;twi;tw;Twi
;;fry;fr;Western Frisian
;;cym;cy;Welsh
;;ave;av;Avestan
;;glg;gl;Galician
;;tam;ta;Tamil
;;kau;ka;Kanuri
;;uzb;uz;Uzbek
;;aze;az;Azerbaijani
;;mya;my;Burmese
;;est;es;Estonian
;;fao;fa;Faroese
;;cos;co;Corsican
;;srp;sr;Serbian
;;tir;ti;Tigrinya
;;nep;ne;Nepali
;;tsn;ts;Tswana
;;fij;fi;Fijian
;;deu;de;German
;;slk;sl;Slovak
;;arg;ar;Aragonese
;;kan;ka;Kannada
;;cha;ch;Chamorro
;;cre;cr;Cree
;;bod;bo;Tibetan
;;tat;ta;Tatar
;;kor;ko;Korean
;;ndo;nd;Ndonga
;;lug;lu;Ganda
;;oci;oc;Occitan (post 1500)
;;orm;or;Oromo
;;bis;bi;Bislama
;;sqi;sq;Albanian
;;mkd;mk;Macedonian
;;fin;fi;Finnish
;;run;ru;Rundi
;;lin;li;Lingala
;;urd;ur;Urdu
;;hau;ha;Hausa
;;sme;sm;Northern Sami
;;tha;th;Thai
;;bos;bo;Bosnian
;;fra;fr;French
;;snd;sn;Sindhi
;;sag;sa;Sango
;;roh;ro;Romansh
;;sna;sn;Shona
;;iku;ik;Inuktitut
;;tel;te;Telugu
;;que;qu;Quechua
;;tgk;tg;Tajik
;;kon;ko;Kongo
;;sun;su;Sundanese
;;hrv;hr;Croatian
;;fas;fa;Persian
;;yor;yo;Yoruba
;;bam;ba;Bambara
;;dzo;dz;Dzongkha
;;tah;ta;Tahitian
;;ido;id;Ido
;;chv;ch;Chuvash
;;hye;hy;Armenian
;;swe;sw;Swedish
;;nor;no;Norwegian
;;xho;xh;Xhosa
;;tgl;tg;Tagalog
;;zho;zh;Chinese
;;eus;eu;Basque
;;bre;br;Breton
;;kom;ko;Komi
;;hin;hi;Hindi
;;eng;en;English
;;aym;ay;Aymara
;;abk;ab;Abkhazian
;;lao;la;Lao
;;mri;mr;Maori
;;heb;he;Hebrew
